latest.student.size,latest.cost.tuition.in_state,school.name,school.state,school.city
121.0,,Ann Webb Skin Institute,TX,Austin
30.0,,Allgood Beauty Institute,TX,Frisco
8.0,,Manuel and Theresa's School of Hair Design,TX,Brenham
72.0,,Peloton College,TX,Arlington
65.0,,Strand Institute of Beauty & Esthetics,TX,Corpus Christi
92.0,,The Culinary School of Fort Worth,TX,Fort Worth
268.0,,Miller-Motte College-STVT-Arlington,TX,Arlington
50.0,,Mystros Barber Academy,TX,Houston
94.0,,Salon Professional Academy of San Antonio,TX,San Antonio
8.0,,Vogue International Academy,TX,Houston
79.0,,The Salon Professional Academy-Georgetown,TX,Georgetown
0.0,21780.0,The Chicago School at Dallas,TX,Plano
242.0,,Texas Tech University Health Sciences Center-El Paso,TX,El Paso
419.0,,The College of Health Care Professions-South San Antonio,TX,San Antonio
129.0,,McAllen Careers Institute,TX,McAllen
264.0,,Houston Barber School,TX,Houston
94.0,,Deluxe Barber College,TX,San Antonio
185.0,,Southern Careers Institute-Waco,TX,Waco
588.0,23987.0,Arizona College of Nursing-Dallas,TX,Dallas
14.0,,Evvaylois Academy School of Beauty,TX,Brenham
139.0,,Avenue Five Institute-South Austin Campus,TX,Austin
424.0,,Pima Medical Institute-San Antonio,TX,San Antonio
324.0,11934.0,The Southwestern Baptist Theological Seminary,TX,Fort Worth
32.0,8806.0,Christ Mission College,TX,San Antonio
150.0,,Texas Healthtech Institute,TX,Beaumont
170.0,,Tonsorial Arts Barber College,TX,Texarkana
42.0,,Michael's Barber & Hair Stylist Academy,TX,Irving
102.0,,Austin Career Institute,TX,Austin
69.0,,Pearlands Innovative School of Beauty,TX,Pearland
146.0,,The Professional Cosmetology Academy,TX,Laredo
24.0,,Elite Welding Academy,TX,Houston
114.0,,CTK Healthcare & Career Institute,TX,Irving
60.0,,Institute of Allied Healthcare,TX,San Antonio
178.0,12289.0,Remington College-Online Dallas,TX,Dallas
1219.0,14520.0,Abilene Christian University-Undergraduate Online,TX,Addison
481.0,,Ogle School Hair Skin Nails-Willowbrook,TX,Houston
1161.0,17048.0,Galen Health Institutes-Austin Campus,TX,Round Rock
91.0,,Mei Barber School,TX,Brownsville
1335.0,,Universal Technical Institute-West Texas,TX,Austin
37.0,,Barber Education Academy,TX,Laredo
26.0,,Legends Barber College,TX,Lufkin
9.0,,Barbers Trade School,TX,Beaumont
86.0,,Top of the Line Barber School,TX,San Antonio
6.0,7000.0,Redeemers University North America,TX,Greenville
45.0,,Premier Barber School,TX,Houston
1582.0,17048.0,Galen Health Institutes-Houston,TX,Houston
51.0,,East Texas Cosmetology College,TX,Lufkin
319.0,,Collectiv Hair Dressing Academy-Collectiv Academy-Dallas,TX,Dallas
311.0,25000.0,College of Biomedical Equipment Technology,TX,Schertz
1153.0,17048.0,Galen Health Institutes-Dallas,TX,Richardson
135.0,,Denver College of Nursing-Houston,TX,Houston
